Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1211556,426513,435659,1,1,01/08/2014,2000,6,1,1,1,3,3,1,23,9
1221002,424112,428080,1,1,02/02/2014,1531,1,2,1,1,1,3,1,28,9
12H1186,426045,427745,1,1,17/02/2014,1728,6,2,4,2,3,3,1,17,9
12I0039,430708,439230,1,1,18/02/2014,2235,3,1,4,1,1,3,1,26,9
12I0834,430306,434778,1,1,18/02/2014,1422,6,2,1,1,1,3,1,38,9
12I1281,425763,435423,1,1,18/02/2014,1802,6,1,4,1,3,3,2,23,9
12J1142,426308,437694,1,1,19/02/2014,1639,6,1,1,1,3,3,2,68,9
12L0965,430959,433432,1,1,21/02/2014,1545,3,1,1,1,3,3,1,15,9
12L1445,421620,445945,1,1,21/02/2014,1950,3,2,4,5,1,3,2,55,9
12M0056,428974,435464,1,1,22/02/2014,29,6,2,4,2,3,3,1,44,9
12M0822,430373,433481,1,1,22/02/2014,1245,6,1,1,1,3,2,2,86,11
12N0893,435901,428601,1,1,23/02/2014,1300,6,1,1,1,1,3,1,80,9
12N0997,431928,428128,1,1,23/02/2014,1435,1,1,1,1,2,3,2,4,9
12N1293,430091,435427,1,2,23/02/2014,1545,6,2,1,9,2,3,2,44,11
12N1293,430091,435427,1,2,23/02/2014,1545,6,2,1,9,2,3,2,53,11
12N1424,435232,427614,1,2,23/02/2014,1840,6,1,6,1,1,2,1,19,9
12N1424,435232,427614,1,2,23/02/2014,1840,6,1,6,1,2,2,1,19,9
12N1843,429804,433477,1,1,23/02/2014,2303,6,1,4,1,3,3,1,25,8
12O0439,430066,433771,1,1,24/02/2014,1036,6,1,1,1,3,3,1,59,20
12O0947,422418,433289,1,1,24/02/2014,1510,6,1,1,1,3,3,2,11,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,2,1,17,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,2,1,17,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,3,2,17,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,3,1,12,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,3,1,12,9
12P0236,418975,442004,1,6,25/02/2014,810,3,1,1,1,3,3,1,12,9
12Q1511,431959,430490,1,1,26/02/2014,1725,3,2,1,1,2,3,2,76,11
12R0675,430717,434135,1,2,27/02/2014,1300,6,1,1,1,1,3,1,18,4
12R0675,430717,434135,1,2,27/02/2014,1300,6,1,1,1,3,3,1,19,4
12R1124,437735,433076,1,1,27/02/2014,1654,3,1,1,1,1,3,1,29,9
12S1059,437227,433425,1,1,28/02/2014,1605,3,1,1,1,3,3,2,36,9
1311240,428431,435003,1,2,01/03/2014,1627,6,1,1,1,3,3,1,21,8
1311240,428431,435003,1,2,01/03/2014,1627,6,1,1,1,1,3,1,56,8
1311578,432515,434885,1,1,01/03/2014,1915,6,1,4,1,3,3,1,19,20
1331079,432278,436992,1,1,03/03/2014,1600,6,1,1,1,3,3,2,17,9
1340155,427915,436171,1,1,04/03/2014,642,3,1,1,1,3,3,1,19,9
1341172,430325,424149,1,1,04/03/2014,1737,1,1,1,1,1,3,1,42,21
1350602,429689,427938,1,1,05/03/2014,1200,6,1,1,1,3,3,1,69,8
1361391,435951,428252,1,1,06/03/2014,1935,3,2,4,1,1,3,1,49,1
1370105,422649,440068,1,1,07/03/2014,235,6,2,6,1,1,3,1,23,9
1371061,422218,433361,1,1,07/03/2014,815,4,1,1,1,3,3,1,13,9
1371067,428097,434762,1,1,07/03/2014,1500,6,1,1,1,3,3,2,12,2
1371129,433909,434031,1,1,07/03/2014,1620,3,1,1,1,3,3,1,14,9
1371450,430393,433628,1,1,07/03/2014,1756,6,1,1,1,2,3,2,85,11
1380117,435678,440221,1,1,08/03/2014,130,3,1,6,1,1,2,1,21,9
1381501,431013,428461,1,1,08/03/2014,1825,6,1,4,1,3,2,2,42,19
1381775,432494,436620,1,1,08/03/2014,2045,2,1,4,1,3,3,1,14,9
1391022,431502,439988,1,1,09/03/2014,1408,6,1,1,1,3,2,2,80,9
1391182,444584,427870,1,1,09/03/2014,1534,6,1,1,1,1,2,1,44,5
1391335,443071,440722,1,1,09/03/2014,1625,2,1,1,1,1,3,2,53,9
13A0340,430373,433501,1,1,10/03/2014,904,6,1,1,1,3,2,1,35,11
13A0504,430417,433473,1,1,10/03/2014,1033,6,1,1,1,3,2,1,66,19
13A1241,432651,436884,1,1,10/03/2014,1530,6,1,1,1,3,3,1,2,11
13A1269,424189,434783,1,1,10/03/2014,1646,6,1,1,1,3,3,1,15,9
13A1983,429081,433520,1,1,10/03/2014,1950,6,1,4,1,2,3,2,69,11
13B0159,424642,434453,1,1,11/03/2014,700,4,1,1,1,3,3,2,26,9
13B0318,435806,433195,1,1,15/03/2014,830,6,1,1,1,3,3,1,53,9
13B0966,424944,435693,1,1,11/03/2014,1530,6,1,1,1,3,3,1,9,9
13C0794,437569,432828,1,1,12/03/2014,1430,6,1,1,1,2,3,2,33,19
13D1532,430122,433931,1,1,13/03/2014,1931,6,1,4,1,3,2,2,19,5
13E0793,431001,430771,1,1,14/03/2014,1330,6,1,1,1,3,3,2,32,19
13E1456,429763,433924,1,1,14/03/2014,1850,6,1,4,1,3,2,2,38,9
13E1621,431705,434161,1,1,14/03/2014,1905,6,1,1,1,2,3,1,59,11
13I0848,422422,440320,1,1,18/03/2014,1426,6,2,1,5,2,2,1,27,9
13J0641,429725,433797,1,1,19/03/2014,1220,6,1,1,1,3,2,1,29,11
13J1191,433341,426310,1,1,19/03/2014,1650,4,1,1,1,3,2,2,12,9
13J1600,430894,433487,1,1,19/03/2014,2010,6,1,4,1,3,2,1,58,11
13J1631,426340,427880,1,2,19/03/2014,2023,6,1,4,1,1,3,1,19,5
13J1631,426340,427880,1,2,19/03/2014,2023,6,1,4,1,2,3,1,23,5
13L0235,440411,449270,1,1,21/03/2014,800,4,1,1,1,3,3,1,14,9
13L0966,426934,433318,1,1,21/03/2014,1524,6,1,1,1,3,2,1,14,9
13M0191,430017,434106,1,1,22/03/2014,210,6,1,4,1,3,3,2,24,9
13M0649,431776,435617,1,1,21/03/2014,1430,6,2,1,2,3,2,1,43,9
13M0677,432633,434930,1,1,22/03/2014,1100,6,2,1,1,3,3,2,26,9
13O0187,431233,431502,1,1,24/03/2014,700,6,4,1,1,1,2,1,24,2
13O1210,429660,431505,1,1,24/03/2014,1515,6,1,1,1,3,3,1,5,9
13O1465,418836,444983,1,1,24/03/2014,1820,6,1,1,1,3,3,1,10,9
13P1086,443621,445279,1,1,24/03/2014,1840,6,1,1,1,3,2,1,77,9
13P1129,421434,434073,1,1,24/03/2014,1700,6,2,1,1,1,3,2,46,9
13Q0406,429949,438539,1,1,26/03/2014,1043,4,1,1,1,3,3,1,86,9
13Q0520,432305,436439,1,1,25/03/2014,1010,6,1,1,1,2,3,2,81,11
13Q1522,429309,435030,1,1,26/03/2014,2050,6,2,4,2,3,3,1,25,9
13R0189,435059,427770,1,1,27/03/2014,750,6,1,1,1,3,3,1,46,21
13R0628,429931,433518,1,1,27/03/2014,1321,6,1,1,1,3,3,2,65,11
13R0778,426120,439224,1,1,27/03/2014,1456,6,1,1,1,3,3,2,3,9
13R0938,428342,429522,1,1,18/03/2014,1500,3,1,1,1,3,3,2,53,1
13S0610,430335,433394,1,1,28/03/2014,1238,6,1,1,1,2,3,2,55,11
13T1182,430302,439597,1,1,29/03/2014,1610,6,1,1,1,2,3,2,37,11
13V1980,430851,424428,1,1,31/03/2014,2300,1,1,4,1,3,3,1,19,9
140000304,429117,439812,1,1,01/01/2014,130,6,2,4,1,3,2,2,34,9
140000834,429111,433665,1,1,01/01/2014,1537,3,2,1,2,1,3,2,29,9
140000977,427125,438261,1,1,01/01/2014,1830,3,2,4,2,1,3,1,24,9
140001657,428085,432932,1,1,02/01/2014,1220,6,1,1,1,3,3,1,12,9
140002930,427167,427445,1,1,03/01/2014,1025,6,1,1,1,2,3,2,27,11
140008934,431546,434328,1,1,07/01/2014,2245,6,2,4,1,3,2,1,26,8
140009642,430866,436342,1,1,08/01/2014,1320,6,1,1,1,3,2,2,74,9
140009655,440329,434718,1,1,01/01/2014,1240,6,1,1,1,1,2,1,26,9
140009950,431966,435828,1,1,08/01/2014,1606,3,1,1,1,3,3,1,14,9
140010225,426288,435597,1,1,08/01/2014,1825,3,1,1,1,3,3,2,28,9
140010271,427514,434540,1,2,08/01/2014,2018,6,2,4,2,3,3,1,37,9
1112091,429175,431904,2,1,01/01/2014,1840,6,2,4,2,1,3,1,58,9
11A0628,432917,425961,2,1,10/01/2014,1220,1,1,1,1,1,3,1,20,9
12F1262,433137,433635,2,1,25/02/2014,1800,6,2,4,2,1,3,1,34,1
12H1210,429147,431787,2,1,17/02/2014,1735,6,1,1,1,2,3,1,3,11
12H1381,425059,433376,2,1,17/02/2014,1905,4,2,4,2,2,3,2,56,9
12I0740,432436,434843,2,1,18/02/2014,1320,6,1,1,1,1,3,1,33,1
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,2,3,1,19,9
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,1,3,1,56,9
12I1006,431896,434915,2,3,18/02/2014,1545,6,1,1,1,2,3,1,41,9
