unit,age,sex,severity,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
NR,TOTAL,F,FATALITY,AT	: 	0 	1 	2 	3 	1 
NR,TOTAL,F,FATALITY,BE	: 	0 	0 	4 	1 	2 
NR,TOTAL,F,FATALITY,BG	: 	5 	3 	5 	3 	3 
NR,TOTAL,F,FATALITY,CH	0 	2 	2 	3 	0 	2 
NR,TOTAL,F,FATALITY,CY	0 	0 	0 	0 	0 	0 
NR,TOTAL,F,FATALITY,CZ	: 	0 	5 	5 	3 	3 
NR,TOTAL,F,FATALITY,DE	7 	11 	5 	12 	6 	13 
NR,TOTAL,F,FATALITY,DK	: 	0 	0 	1 	0 	0 
NR,TOTAL,F,FATALITY,EE	: 	0 	0 	1 	0 	2 
NR,TOTAL,F,FATALITY,EL	: 	0 	0 	1 	2 	1 
NR,TOTAL,F,FATALITY,ES	: 	3 	7 	6 	10 	7 
NR,TOTAL,F,FATALITY,EU15	: 	46 	57 	82 	80 	67 
NR,TOTAL,F,FATALITY,EU27	: 	67 	85 	133 	144 	127 
NR,TOTAL,F,FATALITY,EU28	: 	67 	86 	133 	142 	: 
NR,TOTAL,F,FATALITY,FI	: 	0 	0 	1 	1 	1 
NR,TOTAL,F,FATALITY,FR	: 	22 	21 	25 	20 	4 
NR,TOTAL,F,FATALITY,HR	: 	0 	1 	0 	: 	: 
NR,TOTAL,F,FATALITY,HU	: 	1 	2 	3 	3 	5 
NR,TOTAL,F,FATALITY,IE	: 	0 	0 	0 	1 	0 
NR,TOTAL,F,FATALITY,IT	: 	4 	11 	12 	7 	10 
NR,TOTAL,F,FATALITY,LT	: 	1 	5 	3 	4 	2 
NR,TOTAL,F,FATALITY,LU	: 	0 	0 	0 	0 	0 
NR,TOTAL,F,FATALITY,LV	: 	1 	2 	1 	4 	2 
NR,TOTAL,F,FATALITY,MT	0 	0 	0 	0 	0 	0 
NR,TOTAL,F,FATALITY,NL	: 	0 	1 	1 	0 	1 
NR,TOTAL,F,FATALITY,NO	: 	: 	0 	0 	0 	0 
NR,TOTAL,F,FATALITY,PL	: 	8 	2 	6 	14 	12 
NR,TOTAL,F,FATALITY,PT	: 	3 	3 	2 	3 	: 
NR,TOTAL,F,FATALITY,RO	: 	5 	8 	13 	18 	24 
NR,TOTAL,F,FATALITY,SE	0 	1 	4 	1 	2 	1 
NR,TOTAL,F,FATALITY,SI	: 	0 	0 	0 	0 	0 
NR,TOTAL,F,FATALITY,SK	: 	0 	1 	1 	2 	0 
NR,TOTAL,F,FATALITY,UK	: 	2 	4 	0 	4 	0 
NR,TOTAL,F,GE_D4,AT	: 	7206 	7201 	7293 	6844 	7530 
NR,TOTAL,F,GE_D4,BE	: 	8304 	9125 	9378 	8164 	9387 
NR,TOTAL,F,GE_D4,BG	: 	344 	343 	369 	367 	506 
NR,TOTAL,F,GE_D4,CH	9786 	9545 	9508 	8750 	8763 	8532 
NR,TOTAL,F,GE_D4,CY	351 	357 	367 	395 	374 	384 
NR,TOTAL,F,GE_D4,CZ	: 	8100 	8220 	12223 	12397 	18839 
NR,TOTAL,F,GE_D4,DE	116859 	108698 	109890 	112056 	101594 	107033 
NR,TOTAL,F,GE_D4,DK	: 	5597 	5605 	6350 	6586 	8329 
NR,TOTAL,F,GE_D4,EE	: 	1785 	1820 	1732 	1506 	1613 
NR,TOTAL,F,GE_D4,EL	: 	2320 	2328 	2426 	3078 	3381 
NR,TOTAL,F,GE_D4,ES	: 	62917 	79601 	83528 	89640 	112001 
NR,TOTAL,F,GE_D4,EU15	: 	389667 e	463967 	496978 	462394 	479077 
NR,TOTAL,F,GE_D4,EU27	: 	425194 e	498772 	535990 	499078 	527724 
NR,TOTAL,F,GE_D4,EU28	: 	427101 e	501098 	537941 	496000 	: 
NR,TOTAL,F,GE_D4,FI	: 	298 	5675 	5702 	5590 	6869 
NR,TOTAL,F,GE_D4,FR	: 	62743 	97702 	164205 	94121 	101686 
NR,TOTAL,F,GE_D4,HR	: 	1908 	2326 	1951 	: 	: 
NR,TOTAL,F,GE_D4,HU	: 	4084 	3522 	4141 	3558 	4470 
NR,TOTAL,F,GE_D4,IE	: 	2678 	1983 	2333 	1724 	2270 
NR,TOTAL,F,GE_D4,IT	: 	46441 	53154 	58620 	60965 	56419 
NR,TOTAL,F,GE_D4,LT	: 	556 	508 	403 	376 	610 
NR,TOTAL,F,GE_D4,LU	: 	862 	836 	787 	782 	872 
NR,TOTAL,F,GE_D4,LV	: 	263 	215 	196 	173 	261 
NR,TOTAL,F,GE_D4,MT	239 	169 	163 	191 	193 	218 
NR,TOTAL,F,GE_D4,NL	: 	22934 	33334 	27218 	23924 	26011 
NR,TOTAL,F,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,TOTAL,F,GE_D4,PL	: 	15494 	15151 	14344 	12781 	15713 
NR,TOTAL,F,GE_D4,PT	: 	23910 	22846 	21823 	22869 	29343 
NR,TOTAL,F,GE_D4,RO	: 	544 	467 	721 	591 	773 
NR,TOTAL,F,GE_D4,SE	5168 	5478 	4975 	4957 	4594 	5183 
NR,TOTAL,F,GE_D4,SI	: 	2020 	2288 	2463 	2478 	2847 
NR,TOTAL,F,GE_D4,SK	: 	1811 	1741 	1835 	1891 	2413 
NR,TOTAL,F,GE_D4,UK	: 	29280 	29712 	30397 	31919 	32106 
NR,TOTAL,M,FATALITY,AT	: 	51 	40 	48 	61 	17 
NR,TOTAL,M,FATALITY,BE	: 	30 	38 	51 	38 	55 
NR,TOTAL,M,FATALITY,BG	: 	53 	43 	37 	44 	72 
NR,TOTAL,M,FATALITY,CH	36 	36 	35 	51 	37 	57 
NR,TOTAL,M,FATALITY,CY	7 	4 	4 	16 	5 	9 
NR,TOTAL,M,FATALITY,CZ	: 	78 	85 	61 	43 	87 
NR,TOTAL,M,FATALITY,DE	231 	247 	253 	247 	207 	265 
NR,TOTAL,M,FATALITY,DK	: 	20 	24 	12 	11 	16 
NR,TOTAL,M,FATALITY,EE	: 	5 	11 	6 	10 	10 
NR,TOTAL,M,FATALITY,EL	: 	18 	20 	22 	21 	48 
NR,TOTAL,M,FATALITY,ES	: 	165 	204 	180 	211 	313 
NR,TOTAL,M,FATALITY,EU15	: 	1335 	1501 	1778 	1853 	1879 
NR,TOTAL,M,FATALITY,EU27	: 	1921 	2102 	2620 	2705 	3027 
NR,TOTAL,M,FATALITY,EU28	: 	1955 	2116 	2644 	2681 	: 
NR,TOTAL,M,FATALITY,FI	: 	2 	12 	18 	17 	15 
NR,TOTAL,M,FATALITY,FR	: 	328 	384 	340 	269 	63 
