Violation Description,Violation Month,Violation Time,Age at Violation,State of License,Gender,Police Agency
"DISOBEY",3,"4:08:00 PM",53,"NEW YORK","M","PAINTED POST STATE POLICE"
"SPEEDING",8,"6:38:00 PM",30,"NEW YORK","F","TOWN OF SCHODACK  PD"
"SPEEDING",10,"3:13:00 AM",23,"NEW YORK","M","COUNTY OF OSWEGO SHERIFF"
"SPEEDING",4,"11:11:00 AM",21,"NEW YORK","F","SIDNEY STATE POLICE"
"SPEEDING",9,"5:35:00 PM",71,"NEW YORK","M","TOWN OF BRIGHTON  PD"
"SPEEDING",11,"4:10:00 PM",56,"PENNSYLVANIA","F","MIDDLETOWN STATE POLICE"
"SPEEDING",1,"11:09:00 AM",66,"NEW YORK","F","FULTON STATE POLICE"
"MOBILE PHONE",4,"4:58:00 PM",36,"MASSACHUSETTS","F","ALBANY TWAY STATE POLICE"
"DISOBEY",9,"11:14:00 AM",55,"NEW YORK","M","N SYRACUSE STATE POLICE"
"SPEEDING",3,"9:29:00 AM",35,"NEW YORK","M","STORMVILLE STATE POLICE"
"DRIVING DANGEROUSLY",1,"12:00:00 AM",35,"NEW YORK","M","COUNTY OF SUFFOLK  PD"
"DRIVING DANGEROUSLY",8,"3:06:00 AM",31,"NEW YORK","M","COUNTY OF OTSEGO  SHERIFF"
"SPEEDING",2,"8:32:00 AM",26,"ONTARIO CANADA","M","DUNKIRK TWAY STATE POLICE"
"ALCOHOL OR DRUGS USAGE",8,"8:00:00 PM",37,"NEW YORK","M","VILLAGE OF GREENWOOD LAKE  PD"
"SPEEDING",10,"8:28:00 AM",24,"NEW YORK","F","NEW ROCHELLE STATE POLICE"
"SEAT BELT",2,"11:15:00 AM",41,"NEW YORK","M","MASSENA STATE POLICE"
"DRIVING DANGEROUSLY",12,"1:00:00 PM",36,"NEW YORK","M","COUNTY OF NASSAU  PD"
"SPEEDING",7,"4:10:00 PM",39,"NEW YORK","M","BINGHAMTON STATE POLICE"
"ALCOHOL OR DRUGS USAGE",3,"11:40:00 PM",39,"NEW YORK","F","COUNTY OF LIVINGSTON  SHERIFF"
"SPEEDING",11,"8:03:00 PM",19,"NEW YORK","M","COUNTY OF MONTGOMERY  SHERIFF"
"SEAT BELT",4,"4:36:00 PM",19,"NEW YORK","F","PRINCETOWN STATE POLICE"
"SPEEDING",5,"3:00:00 PM",52,"NEW YORK","M","ALBION STATE POLICE"
"SPEEDING",4,"7:32:00 AM",21,"NEW YORK","M","SCHUYLER STATE POLICE"
"SEAT BELT",2,"6:53:00 PM",28,"NEW YORK","M","CITY OF ONEIDA  PD"
"ALCOHOL OR DRUGS USAGE",12,"12:00:00 AM",38,"NEW YORK","F","VILLAGE OF ENDICOTT PD"
"SPEEDING",6,"12:19:00 PM",17,"NEW YORK","F","BOSTON STATE POLICE"
"DRIVING DANGEROUSLY",9,"12:00:00 AM",66,"NEW JERSEY","M","VILLAGE OF MONROE PD"
"DISOBEY",7,"12:00:00 AM",21,"NEW YORK","M","CITY OF LACKAWANNA PD"
"DISOBEY",1,"10:12:00 AM",46,"ONTARIO CANADA","M","WATKINS GLEN STATE POLICE"
"SEAT BELT",8,"7:12:00 AM",55,"NEW YORK","M","VILLAGE OF BLASDELL PD"
"SPEEDING",3,"8:48:00 AM",26,"NEW YORK","M","PAINTED POST STATE POLICE"
"SPEEDING",5,"10:20:00 AM",22,"NEW YORK","M","ELLENVILLE STATE POLICE"
"MOBILE PHONE",5,"6:57:00 PM",71,"NEW YORK","M","VILLAGE OF NASSAU  PD"
"SPEEDING",2,"2:46:00 AM",21,"NEW YORK","M","TOWN OF ORCHARD PARK PD"
"DISOBEY",11,"7:19:00 PM",21,"NEW YORK","M","VILLAGE OF BRONXVILLE PD"
"SPEEDING",9,"8:57:00 PM",43,"NEW YORK","F","TOWN OF EDEN PD"
"DISOBEY",8,"2:40:00 PM",56,"ONTARIO CANADA","F","MALONE STATE POLICE"
"DISOBEY",3,"10:26:00 PM",23,"NEW YORK","M","SYLVAN BEACH STATE POLICE"
"ALCOHOL OR DRUGS USAGE",11,"9:46:00 PM",29,"NEW YORK","M","FARMINGDALE STATE POLICE"
"SPEEDING",6,"5:43:00 AM",23,"NEW YORK","F","TOWN OF ULSTER PD"
"SPEEDING",8,"6:30:00 PM",50,"NEW YORK","F","TOWN OF GREECE  PD"
"MOBILE PHONE",7,"7:21:00 PM",23,"NEW YORK","F","CITY OF SCHENECTADY PD"
"SPEEDING",5,"9:31:00 AM",40,"NEW YORK","F","EAST FISHKILL TWAY STATE POLICE"
"SPEEDING",3,"2:37:00 PM",28,"NEW YORK","F","WAPPINGERS STATE POLICE"
"SPEEDING",3,"10:33:00 AM",36,"NEW YORK","M","LAKE SUCCESS STATE POLICE"
"SEAT BELT",5,"10:47:00 AM",31,"NEW YORK","F","BOSTON STATE POLICE"
"SPEEDING",10,"1:04:00 PM",70,"ILLINOIS","F","CITY OF WHITE PLAINS PD"
"SPEEDING",4,"3:55:00 PM",20,"NEW YORK","M","COUNTY OF NASSAU  PD"
"SPEEDING",3,"12:30:00 PM",35,"CONNECTICUT","F","SOMERS STATE POLICE"
"SPEEDING",9,"10:10:00 PM",54,"NEW YORK","M","NEW ROCHELLE STATE POLICE"
"SPEEDING",2,"6:18:00 PM",29,"PENNSYLVANIA","F","WAYLAND STATE POLICE"
"DRIVING DANGEROUSLY",10,"1:00:00 PM",48,"NEW HAMPSHIRE","M","CANANDAIGUA STATE POLICE"
"DRIVING DANGEROUSLY",10,"1:00:00 PM",48,"NEW HAMPSHIRE","M","CANANDAIGUA STATE POLICE"
"SPEEDING",4,"12:00:00 AM",60,"NEW YORK","F","VILLAGE OF PLEASANTVILLE PD"
"SPEEDING",9,"3:53:00 PM",23,"NEW YORK","F","CITY OF SYRACUSE PD"
"DRIVING DANGEROUSLY",6,"10:58:00 AM",30,"NEW YORK","F","NEW ROCHELLE STATE POLICE"
"SPEEDING",5,"8:46:00 AM",24,"NEW YORK","F","MIDDLETOWN STATE POLICE"
"SPEEDING",10,"10:16:00 PM",22,"NEW YORK","F","TOWN OF NIAGARA PD"
"SEAT BELT",7,"12:00:00 AM",68,"CONNECTICUT","M","VILLAGE OF PORT CHESTER  PD"
"SEAT BELT",5,"6:10:00 PM",30,"NEW YORK","M","VILLAGE OF FLORIDA PD"
